CPT Code,Specialty,Elective vs Emergency,Procedure Type,Procedure Name,Treatment Reason,Surgeon's Action,Pre-surgery Facts,Medications,Day Before Surgery,Morning of Surgery,Day After Surgery ,Day of Discharge,"Post-surgery tips (what to expect, common symptoms not to be worried about)",Post-surgery adverse signs/symptoms (alert provider),Post-surgery nutrition,Post-surgery physical activity,Avg Amount of Time spent in the Hospital,"Looking for more information? 
(Links)",Pictures
62220,Neurosurgery,elective ,Creation of Shunt from brain to blood vessels,Cerebrospinal Fluid (CSF) Shunt Procedures,,"The procedure will be about an hour long. The surgeon creates a small tube, called a shunt, that connects the brain to blood vessels in the neck or heart to drain excess fluid. This procedure is done to treat conditions like hydrocephalus, where fluid builds up in the brain and causes swelling. The surgeon may use a tiny camera, called an endoscope, to help guide the procedure.","Make sure to inform your healthcare providers about all the medications and supplements you're using. Avoid drinking alcohol prior to your surgery, and if you smoke, stopping a few days before your surgery can greatly reduce the risk of breathing problems during your surgery.

Be sure to follow your provider's instructions for taking the following: aspirin, vitamin E, multivitamins, herbal remedies, other dietary supplements, and NSAIDs, such as ibuprofen (Advil® and Motrin®) and naproxen (Aleve®).

Stop eating at midnight (12 a.m.) the night before your surgery. This includes hard candy and gum.If your healthcare provider told you to stop eating earlier than midnight, follow their instructions. Some people need to fast (not eat) for longer before their surgery.","Include disclaimer, and for this put ingeneral what to do - ie. tell your surgeon all medicaations/supplements/herbals etc.","Note the time of your surgery and where to go

Follow your provider's instructions for eating prior to surgery - typically you should stop eating at midnight (12 am) the night before your surgery, and this includes hard candy and gum.

What to bring:
Your breathing device for sleep apnea (such as your CPAP machine), if you have one.
Your incentive spirometer, if you have one.
Any forms/documents you may need depending on your hospital
Your cell phone and charger.
A case for your personal items, if you have any. Eyeglasses, hearing aids, dentures, prosthetic devices, wigs, and religious articles are examples of personal items.""","From midnight (12 a.m.) until 2 hours before your scheduled arrival time, you should only drink the liquids listed below. Avoid eating or drinking anything not included on this list. Stop drinking entirely 2 hours before your arrival time.
Water.
Clear apple juice, clear grape juice, or clear cranberry juice.
Gatorade or Powerade.
Black coffee or plain tea. It’s OK to add sugar. Do not add anything else.
Do not add any amount of any type of milk or creamer. This includes plant-based milks and creamers.
Do not add honey.
Do not add flavored syrup.

If you have diabetes, please be mindful of the sugar content in these drinks. To help manage your blood sugar levels, consider choosing sugar-free, low-sugar, or no-added-sugar options.

Staying hydrated before surgery is important, so feel free to drink if you’re thirsty. However, avoid drinking more than necessary, as you will receive intravenous (IV) fluids during your procedure.

Take your medicines as instructed.

Shower and wash your hair with baby shampoo the morning of your surgery. Do not use conditioner or hair products such as hair spray or hair gel. Do not put on any lotion, cream, deodorant, makeup, powder, perfume, or cologne after your shower.

Choose comfortable, loose-fitting clothing for the day of your surgery.

If you normally wear contact lenses, please opt for glasses instead, as wearing contacts during surgery can harm your eyes.

Avoid wearing any metal objects and remove all jewelry, including body piercings.

When it’s time for your surgery, you will need to remove items such as eyeglasses, hearing aids, dentures, prosthetic devices, wigs, and religious articles. You will either walk into the operating room or be transported there on a stretcher by a staff member. Once there, a member of the operating room team will assist you onto the operating bed and place compression boots on your lower legs. These boots gently inflate and deflate to promote healthy blood flow in your legs. After you’re settled, your anesthesiologist will administer anesthesia through your IV line, allowing you to fall asleep. You will also receive fluids through your IV during and after the procedure.







","You'll feel like you just fell asleep. After your surgery, you'll wake up within a few minutes to a few hours, and a nurse will keep track of your temperature, pulse, blood pressure, and oxygen levels. Don't wait until you are in severe pain...You may get oxygen through a tube resting below your nose and mouth, pain medicine, and compression boots on your lower legs. You may be in your hospital's post-anesthesia care unit for a few hours or overnight. Most people stay in the hospital for 1-2 days.","You may experience mild headaches or discomfort after your surgery. Be sure to talk to your provider about any symptoms you may be experiencing, and you'll get a prescription for pain medicine before you leave the hospital. Talk with your healthcare provider about any concerns you may have.",,,,,,https://www.mskcc.org/cancer-care/patient-education/about-your-ventriculoperitoneal-vp-shunt-surgery,
1,ENT (Otolaryngology),,,temp ENT,,,,,,,,,,,,,,,
2,Plastic Surgery,,,temp Plastic,,,,,,,,,,,,,,,
3,Interventional radiology (IR),,,temp IR ,,,,,,,,,,,,,,,
4,Ophthalmology,,,temp Opth,,,,,,,,,,,,,,,
5,Gastrointestinal,,,temp Gastro,,,,,,,,,,,,,,,
6,Obstetrics/Gynecology (OB/Gyn),,,temp OBGYN,,,,,,,,,,,,,,,
7,Thoracic,,,temp Thoracic,,,,,,,,,,,,,,,
8,Orthopedics,,,temp Ortho,,,,,,,,,,,,,,,
44955,Appendectomy,,Excision Procedures on the Appendix,Removal of appendix during the performance of another major procedure ,,"The surgeon removes the appendix, saclike structure situated in the right lower quadrant of the abdomen at the junction of the large and small intestines, during the performance of another major procedure. They remove the appendix to relieve pain, because it shows evidence of active inflammation or scarring from previous inflammation, or to prevent rupture.",,,,,,,,,,,,,
44960,Appendectomy,,Excision Procedures on the Appendix,Removal of ruptured or burst appendix due to abcess formation or peritonitis,,"The surgeon removes a ruptured, or burst, appendix, a saclike structure situated in the right lower quadrant of the abdomen at the junction of the large and small intestines. They perform the procedure because of abscess formation or widespread peritonitis, i.e., inflammation in the peritoneum, and to prevent further complications.",,,,,,,,,,,,,
44970,Appendectomy,,Laparoscopic Procedures on the Appendix,Removal of inflamed or burst appendix via laproscopic technique,,"The surgeon removes the appendix via laparoscopic technique. They perform this procedure because of an inflamed or burst appendix, a saclike structure situated in the right lower quadrant of the abdomen at the junction of the large and small intestines.",,,,,,,,,,,,,
123,Obstetrics/Gynecology (OB/Gyn),,Excision,Hysterectomy,,"The surgeon removes the upper part of the uterus leaving the cervix in place (supracervical/subtotal/partial hysterectomy), entire uterus including the cervix (total hysterectomy), or the uterus with fallopian tubes and ovaries via vaginal, abdominal, or laproscopic technique. This procedure is performed due to uterine fibroids, endometriosis, pelvic support problems like uterine prolapse, abnormal uterine bleeding, cancer, and/or chronic pelvic pain, and to prevent further complications.",,,,,,,,,,,,,
123,Obstetrics/Gynecology (OB/Gyn),,Maternity,Cesarean Section (C Section),,The surgeon performs a cesarean section (or C section) to remove the fetus from the uterus. ,,,,,,,,,,,,,
47562,Gastroenterology (GI),,Excision,Cholecystectomy,,"The surgeon removes the gallbladder, a small organ located under the liver that stores bile, via laproscopic technique or larger incision (open cholecystectomy). This procedure is performed due to gallbladder infection (cholecystitis) or chronic pain due to gallstones, and to prevent further complications. ",,,,,,,,,,,,,
44950,Gastroenterology (GI),,Excision,Appendectomy,,"The surgeon removes an inflamed appendix, a saclike structure situated in the right lower quadrant of the abdomen at the junction of the large and small intestines. This procedure is performed to relieve pain, due evidence of active inflammation or scarring from previous inflammation, rupture, or to prevent rupture. This procedure may be done via open or minimally invasive laproscopic technique.",,,,,,,,,,,,,
43775,Gastroenterology (GI),,Bariatric/Weight Loss Surgery,Sleeve Gastrectomy,,"The surgeon reduces stomach volume (gastric restriction) by vertically dividing and removing 85% of the stomach, with the remaining stomach resembling a tube or sleeve. This procedure is performed to generate weight loss by reducing stomach volume to 1-5 ounces.",,,,,,,,,,,,,
43846,Gastroenterology (GI),,Bariatric/Weight Loss Surgery,Roux-en-Y Gastric Bypass,,"The surgeon reduces stomach volume by creating a stomach pouch that can hold approximately 1 ounce of food and attaching it to a section of the small intestine called the Roux limb. The stomach pouch will expand to hold 4-6 ouces over time. This procedure is performed to reduce the amount of food eaten and absorbed, rate of food emptying and increase the feeling of fullness, resulting in weight loss. ",,,,,,,,,,,,,
43845,Gastroenterology (GI),,Bariatric/Weight Loss Surgery,Loop Duodenal Switch,,"The surgeon reduces stomach volume by creating a smaller stomach resembling a tube or sleeve. A loop of small intestine is connected directly to the stomach and the latter portion of the rest of the small intestine, bypassing the portion of the small intestine that carries the digestive (bile and pancreatic) juices. This procedure is performed to generate and maintain long-term weight loss. ",,,,,,,,,,,,,
27446,Orthopedics,,Joint Replacement,Total Knee Replacement,,"The surgeon removes damaged cartilage and bone from the knee and replaces it with an artifical joint or prosthesis. This procedure is performed when diseased or worn down cartilage or bone is present, due to conditions such as osteoarthritis, ostenecrosis, rheumatoid arthritis, fractures, etc. ",,,,,,,,,,,,,
27130,Orthopedics,,Joint Replacement,Total Hip Replacement,,"The surgeon removes the arthritic ball of the femur (thigh bone) and damaged cartilage and bone from the hip socket and replaces it with an artificial ball and socket joint. This procedure is performed when arthritic, diseased or worn down cartilage or bone is present due to osteoarthritis. This procedure may be performed via open or minimally invasive technique. ",,,,,,,,,,,,,
27236,Orthopedics,,Fracture Repair,Hip Fracture Repair,,"The surgeon uses metal devices such as rods, pins, screws or plates to stablize and restore the bones to their original positions in the hip after a fracture. Bone grafting may also be performed to help heal the fracture. ",,,,,,,,,,,,,
